Model,CV_Accuracy,CV_Accuracy_mean,CV_Precision,CV_Precision_mean,CV_Recall,CV_Recall_mean,CV_F1,CV_F1_mean,CV_Roc_auc,CV_Roc_auc_mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_Accuracy_val,Test_F1_val,Test_ROC_AUC_val
Random Forest,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000,1.000,1.000,1.000,1.000,1.0,1.0,1.0
Gradient Boosting,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000,1.000,1.000,1.000,1.000,1.0,1.0,1.0
Logistic Regression,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000,1.000,1.000,1.000,1.000,1.0,1.0,1.0
SVM (Linear),1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000,1.000,1.000,1.000,1.000,1.0,1.0,1.0
SVM (RBF),0.988 ± 0.025,0.9875,1.000 ± 0.000,1.0,0.950 ± 0.100,0.95,0.971 ± 0.057,0.9714285714285715,1.000 ± 0.000,1.0,1.000,1.000,1.000,1.000,1.000,1.0,1.0,1.0
Neural Network,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000 ± 0.000,1.0,1.000,1.000,1.000,1.000,1.000,1.0,1.0,1.0
Naive Bayes,0.975 ± 0.031,0.975,1.000 ± 0.000,1.0,0.900 ± 0.122,0.9,0.943 ± 0.070,0.9428571428571428,0.950 ± 0.061,0.95,1.000,1.000,1.000,1.000,1.000,1.0,1.0,1.0
XGBoost,0.988 ± 0.025,0.9875,0.960 ± 0.080,0.96,1.000 ± 0.000,1.0,0.978 ± 0.044,0.9777777777777779,0.992 ± 0.017,0.9916666666666666,0.950,0.960,0.950,0.952,0.969,0.95,0.9519713261648747,0.96875
